스마트가로등유형,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,위도,경도,스마트가로등형태,점등상태여부,센서종류,센싱정보서비스,CCTV유무,WiFi유무,GPS수신기유무,비콘유무,조명제어여부,위급상황신고가능여부,앱서비스명,앱서비스제공내용,기타서비스,설치연도,관리기관명,관리기관전화번호,데이터기준일자
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-22,37.56834294,126.8166703,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-22,37.56834294,126.816671,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-156,37.5676834,126.816524,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-156,37.5676834,126.8165246,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-156,37.5676834,126.816522,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-156,37.5676834,126.816519,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-156,37.5676834,126.816501,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-156,37.5676834,126.8165246,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-123,37.56559345,126.8165292,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-123,37.56559345,126.8165292,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.56373892,126.816514,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.56373892,126.816514,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.56373892,126.816586,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.56373892,126.816584,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.56373892,126.816587,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.563719,126.816514,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.563728,126.816574,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 2-104,37.56201744,126.816422,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 2-104,37.56201744,126.8164767,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 2-104,37.56201744,126.8164767,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 2-104,37.56201744,126.816405,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 2-104,37.56201744,126.816406,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
99,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-123,37.56559345,126.816574,99,Y,속도센서+카운팅센서,교통,N,N,N,N,N,N,,,교통량측정정보+평균속도정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
99,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-123,37.56559345,126.8165292,99,Y,속도센서+카운팅센서,교통,N,N,N,N,N,N,,,교통량측정정보+평균속도정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
99,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.816705,99,Y,속도센서+카운팅센서,교통,N,N,N,N,N,N,,,교통량측정정보+평균속도정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
99,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.8167161,99,Y,속도센서+카운팅센서,교통,N,N,N,N,N,N,,,교통량측정정보+평균속도정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
